id,city,trip_type,locale,slug,title,meta_description,hero_image_url,price_min,price_max,agent_count,faq,status,created_at,updated_at
5031f9aa-4089-4ed7-b158-f35615e33f1a,London,umrah,en,umrah-from-london,Umrah Packages from London 2026 | SafarMarket,"Compare verified Umrah packages from London for 2026. Trusted agents, transparent pricing, real reviews.",,,,0,"[{""answer"": ""Prices vary by hotel category, distance to the Haram and travel season. Most Umrah packages from London fall between budget (3★) and premium (5★) tiers — see live pricing from verified agents above."", ""question"": ""How much does Umrah from London cost?""}, {""answer"": ""SafarMarket lists verified agents who run regular Umrah departures from London. All agents are vetted for licensing (ATOL, Maqam, Ministry of Hajj) and reviewed by past pilgrims."", ""question"": ""Which agents serve the London to Saudi Arabia route?""}, {""answer"": ""Umrah can be performed year-round except during Hajj season. Off-peak months (after Ramadan, before Hajj) usually offer the best prices and quieter Haram."", ""question"": ""When is the best time to travel?""}, {""answer"": ""Most packages from London include return flights, visa processing, hotel accommodation in Makkah and Madinah, ground transport between holy sites, and Ziyarat tours. Always confirm visa, meals and transport details with the agent before booking."", ""question"": ""What is included in a typical package?""}, {""answer"": ""Use our compare tool to put up to 3 packages side-by-side, check agent verification badges, read verified reviews, and request a no-obligation quote (RFQ) to get tailored offers."", ""question"": ""How do I compare packages safely?""}]",active,2026-04-18 14:14:49.142219+00,2026-04-18 14:14:49.142219+00
75d43647-bfa1-4024-ba0e-44b6b04216e6,London,hajj,en,hajj-from-london,Hajj Packages from London 2026 | SafarMarket,"Compare verified Hajj packages from London for 2026. Trusted agents, transparent pricing, real reviews.",,,,0,"[{""answer"": ""Prices vary by hotel category, distance to the Haram and travel season. Most Hajj packages from London fall between budget (3★) and premium (5★) tiers — see live pricing from verified agents above."", ""question"": ""How much does Hajj from London cost?""}, {""answer"": ""SafarMarket lists verified agents who run regular Hajj departures from London. All agents are vetted for licensing (ATOL, Maqam, Ministry of Hajj) and reviewed by past pilgrims."", ""question"": ""Which agents serve the London to Saudi Arabia route?""}, {""answer"": ""Hajj happens once a year on fixed Islamic calendar dates (8–13 Dhul Hijjah). Book at least 6–9 months ahead — quotas from London fill quickly."", ""question"": ""When is the best time to travel?""}, {""answer"": ""Most packages from London include return flights, visa processing, hotel accommodation in Makkah and Madinah, ground transport between holy sites, and Ziyarat tours. Always confirm visa, meals and transport details with the agent before booking."", ""question"": ""What is included in a typical package?""}, {""answer"": ""Use our compare tool to put up to 3 packages side-by-side, check agent verification badges, read verified reviews, and request a no-obligation quote (RFQ) to get tailored offers."", ""question"": ""How do I compare packages safely?""}]",active,2026-04-18 14:14:49.142219+00,2026-04-18 14:14:49.142219+00
b9b4fd1c-8581-475f-acb5-2d4028c441a6,Birmingham,umrah,en,umrah-from-birmingham,Umrah Packages from Birmingham 2026 | SafarMarket,"Compare verified Umrah packages from Birmingham for 2026. Trusted agents, transparent pricing, real reviews.",,,,0,"[{""answer"": ""Prices vary by hotel category, distance to the Haram and travel season. Most Umrah packages from Birmingham fall between budget (3★) and premium (5★) tiers — see live pricing from verified agents above."", ""question"": ""How much does Umrah from Birmingham cost?""}, {""answer"": ""SafarMarket lists verified agents who run regular Umrah departures from Birmingham. All agents are vetted for licensing (ATOL, Maqam, Ministry of Hajj) and reviewed by past pilgrims."", ""question"": ""Which agents serve the Birmingham to Saudi Arabia route?""}, {""answer"": ""Umrah can be performed year-round except during Hajj season. Off-peak months (after Ramadan, before Hajj) usually offer the best prices and quieter Haram."", ""question"": ""When is the best time to travel?""}, {""answer"": ""Most packages from Birmingham include return flights, visa processing, hotel accommodation in Makkah and Madinah, ground transport between holy sites, and Ziyarat tours. Always confirm visa, meals and transport details with the agent before booking."", ""question"": ""What is included in a typical package?""}, {""answer"": ""Use our compare tool to put up to 3 packages side-by-side, check agent verification badges, read verified reviews, and request a no-obligation quote (RFQ) to get tailored offers."", ""question"": ""How do I compare packages safely?""}]",active,2026-04-18 14:14:49.142219+00,2026-04-18 14:14:49.142219+00
6352cab6-ae53-4ee4-8ba8-24ad956614e6,Birmingham,hajj,en,hajj-from-birmingham,Hajj Packages from Birmingham 2026 | SafarMarket,"Compare verified Hajj packages from Birmingham for 2026. Trusted agents, transparent pricing, real reviews.",,,,0,"[{""answer"": ""Prices vary by hotel category, distance to the Haram and travel season. Most Hajj packages from Birmingham fall between budget (3★) and premium (5★) tiers — see live pricing from verified agents above."", ""question"": ""How much does Hajj from Birmingham cost?""}, {""answer"": ""SafarMarket lists verified agents who run regular Hajj departures from Birmingham. All agents are vetted for licensing (ATOL, Maqam, Ministry of Hajj) and reviewed by past pilgrims."", ""question"": ""Which agents serve the Birmingham to Saudi Arabia route?""}, {""answer"": ""Hajj happens once a year on fixed Islamic calendar dates (8–13 Dhul Hijjah). Book at least 6–9 months ahead — quotas from Birmingham fill quickly."", ""question"": ""When is the best time to travel?""}, {""answer"": ""Most packages from Birmingham include return flights, visa processing, hotel accommodation in Makkah and Madinah, ground transport between holy sites, and Ziyarat tours. Always confirm visa, meals and transport details with the agent before booking."", ""question"": ""What is included in a typical package?""}, {""answer"": ""Use our compare tool to put up to 3 packages side-by-side, check agent verification badges, read verified reviews, and request a no-obligation quote (RFQ) to get tailored offers."", ""question"": ""How do I compare packages safely?""}]",active,2026-04-18 14:14:49.142219+00,2026-04-18 14:14:49.142219+00
fdeefb59-6044-4fdc-9a17-183bb4719e78,Manchester,umrah,en,umrah-from-manchester,Umrah Packages from Manchester 2026 | SafarMarket,"Compare verified Umrah packages from Manchester for 2026. Trusted agents, transparent pricing, real reviews.",,,,0,"[{""answer"": ""Prices vary by hotel category, distance to the Haram and travel season. Most Umrah packages from Manchester fall between budget (3★) and premium (5★) tiers — see live pricing from verified agents above."", ""question"": ""How much does Umrah from Manchester cost?""}, {""answer"": ""SafarMarket lists verified agents who run regular Umrah departures from Manchester. All agents are vetted for licensing (ATOL, Maqam, Ministry of Hajj) and reviewed by past pilgrims."", ""question"": ""Which agents serve the Manchester to Saudi Arabia route?""}, {""answer"": ""Umrah can be performed year-round except during Hajj season. Off-peak months (after Ramadan, before Hajj) usually offer the best prices and quieter Haram."", ""question"": ""When is the best time to travel?""}, {""answer"": ""Most packages from Manchester include return flights, visa processing, hotel accommodation in Makkah and Madinah, ground transport between holy sites, and Ziyarat tours. Always confirm visa, meals and transport details with the agent before booking."", ""question"": ""What is included in a typical package?""}, {""answer"": ""Use our compare tool to put up to 3 packages side-by-side, check agent verification badges, read verified reviews, and request a no-obligation quote (RFQ) to get tailored offers."", ""question"": ""How do I compare packages safely?""}]",active,2026-04-18 14:14:49.142219+00,2026-04-18 14:14:49.142219+00
2bd08b7d-b5ec-4a16-926f-2951f4d6e13a,Manchester,hajj,en,hajj-from-manchester,Hajj Packages from Manchester 2026 | SafarMarket,"Compare verified Hajj packages from Manchester for 2026. Trusted agents, transparent pricing, real reviews.",,,,0,"[{""answer"": ""Prices vary by hotel category, distance to the Haram and travel season. Most Hajj packages from Manchester fall between budget (3★) and premium (5★) tiers — see live pricing from verified agents above."", ""question"": ""How much does Hajj from Manchester cost?""}, {""answer"": ""SafarMarket lists verified agents who run regular Hajj departures from Manchester. All agents are vetted for licensing (ATOL, Maqam, Ministry of Hajj) and reviewed by past pilgrims."", ""question"": ""Which agents serve the Manchester to Saudi Arabia route?""}, {""answer"": ""Hajj happens once a year on fixed Islamic calendar dates (8–13 Dhul Hijjah). Book at least 6–9 months ahead — quotas from Manchester fill quickly."", ""question"": ""When is the best time to travel?""}, {""answer"": ""Most packages from Manchester include return flights, visa processing, hotel accommodation in Makkah and Madinah, ground transport between holy sites, and Ziyarat tours. Always confirm visa, meals and transport details with the agent before booking."", ""question"": ""What is included in a typical package?""}, {""answer"": ""Use our compare tool to put up to 3 packages side-by-side, check agent verification badges, read verified reviews, and request a no-obligation quote (RFQ) to get tailored offers."", ""question"": ""How do I compare packages safely?""}]",active,2026-04-18 14:14:49.142219+00,2026-04-18 14:14:49.142219+00
fe556b8a-082a-426a-9980-3da0788864c0,Karachi,umrah,en,umrah-from-karachi,Umrah Packages from Karachi 2026 | SafarMarket,"Compare verified Umrah packages from Karachi for 2026. Trusted agents, transparent pricing, real reviews.",,,,0,"[{""answer"": ""Prices vary by hotel category, distance to the Haram and travel season. Most Umrah packages from Karachi fall between budget (3★) and premium (5★) tiers — see live pricing from verified agents above."", ""question"": ""How much does Umrah from Karachi cost?""}, {""answer"": ""SafarMarket lists verified agents who run regular Umrah departures from Karachi. All agents are vetted for licensing (ATOL, Maqam, Ministry of Hajj) and reviewed by past pilgrims."", ""question"": ""Which agents serve the Karachi to Saudi Arabia route?""}, {""answer"": ""Umrah can be performed year-round except during Hajj season. Off-peak months (after Ramadan, before Hajj) usually offer the best prices and quieter Haram."", ""question"": ""When is the best time to travel?""}, {""answer"": ""Most packages from Karachi include return flights, visa processing, hotel accommodation in Makkah and Madinah, ground transport between holy sites, and Ziyarat tours. Always confirm visa, meals and transport details with the agent before booking."", ""question"": ""What is included in a typical package?""}, {""answer"": ""Use our compare tool to put up to 3 packages side-by-side, check agent verification badges, read verified reviews, and request a no-obligation quote (RFQ) to get tailored offers."", ""question"": ""How do I compare packages safely?""}]",active,2026-04-18 14:14:49.142219+00,2026-04-18 14:14:49.142219+00
f4f512c5-892c-4a96-8fee-b41bd907404c,Karachi,hajj,en,hajj-from-karachi,Hajj Packages from Karachi 2026 | SafarMarket,"Compare verified Hajj packages from Karachi for 2026. Trusted agents, transparent pricing, real reviews.",,,,0,"[{""answer"": ""Prices vary by hotel category, distance to the Haram and travel season. Most Hajj packages from Karachi fall between budget (3★) and premium (5★) tiers — see live pricing from verified agents above."", ""question"": ""How much does Hajj from Karachi cost?""}, {""answer"": ""SafarMarket lists verified agents who run regular Hajj departures from Karachi. All agents are vetted for licensing (ATOL, Maqam, Ministry of Hajj) and reviewed by past pilgrims."", ""question"": ""Which agents serve the Karachi to Saudi Arabia route?""}, {""answer"": ""Hajj happens once a year on fixed Islamic calendar dates (8–13 Dhul Hijjah). Book at least 6–9 months ahead — quotas from Karachi fill quickly."", ""question"": ""When is the best time to travel?""}, {""answer"": ""Most packages from Karachi include return flights, visa processing, hotel accommodation in Makkah and Madinah, ground transport between holy sites, and Ziyarat tours. Always confirm visa, meals and transport details with the agent before booking."", ""question"": ""What is included in a typical package?""}, {""answer"": ""Use our compare tool to put up to 3 packages side-by-side, check agent verification badges, read verified reviews, and request a no-obligation quote (RFQ) to get tailored offers."", ""question"": ""How do I compare packages safely?""}]",active,2026-04-18 14:14:49.142219+00,2026-04-18 14:14:49.142219+00
8469d00d-4ca9-4bbd-be54-b028862fa79d,Lahore,umrah,en,umrah-from-lahore,Umrah Packages from Lahore 2026 | SafarMarket,"Compare verified Umrah packages from Lahore for 2026. Trusted agents, transparent pricing, real reviews.",,,,0,"[{""answer"": ""Prices vary by hotel category, distance to the Haram and travel season. Most Umrah packages from Lahore fall between budget (3★) and premium (5★) tiers — see live pricing from verified agents above."", ""question"": ""How much does Umrah from Lahore cost?""}, {""answer"": ""SafarMarket lists verified agents who run regular Umrah departures from Lahore. All agents are vetted for licensing (ATOL, Maqam, Ministry of Hajj) and reviewed by past pilgrims."", ""question"": ""Which agents serve the Lahore to Saudi Arabia route?""}, {""answer"": ""Umrah can be performed year-round except during Hajj season. Off-peak months (after Ramadan, before Hajj) usually offer the best prices and quieter Haram."", ""question"": ""When is the best time to travel?""}, {""answer"": ""Most packages from Lahore include return flights, visa processing, hotel accommodation in Makkah and Madinah, ground transport between holy sites, and Ziyarat tours. Always confirm visa, meals and transport details with the agent before booking."", ""question"": ""What is included in a typical package?""}, {""answer"": ""Use our compare tool to put up to 3 packages side-by-side, check agent verification badges, read verified reviews, and request a no-obligation quote (RFQ) to get tailored offers."", ""question"": ""How do I compare packages safely?""}]",active,2026-04-18 14:14:49.142219+00,2026-04-18 14:14:49.142219+00
dd3b27f7-1ff3-4c4a-9d6b-1623766b88ed,Lahore,hajj,en,hajj-from-lahore,Hajj Packages from Lahore 2026 | SafarMarket,"Compare verified Hajj packages from Lahore for 2026. Trusted agents, transparent pricing, real reviews.",,,,0,"[{""answer"": ""Prices vary by hotel category, distance to the Haram and travel season. Most Hajj packages from Lahore fall between budget (3★) and premium (5★) tiers — see live pricing from verified agents above."", ""question"": ""How much does Hajj from Lahore cost?""}, {""answer"": ""SafarMarket lists verified agents who run regular Hajj departures from Lahore. All agents are vetted for licensing (ATOL, Maqam, Ministry of Hajj) and reviewed by past pilgrims."", ""question"": ""Which agents serve the Lahore to Saudi Arabia route?""}, {""answer"": ""Hajj happens once a year on fixed Islamic calendar dates (8–13 Dhul Hijjah). Book at least 6–9 months ahead — quotas from Lahore fill quickly."", ""question"": ""When is the best time to travel?""}, {""answer"": ""Most packages from Lahore include return flights, visa processing, hotel accommodation in Makkah and Madinah, ground transport between holy sites, and Ziyarat tours. Always confirm visa, meals and transport details with the agent before booking."", ""question"": ""What is included in a typical package?""}, {""answer"": ""Use our compare tool to put up to 3 packages side-by-side, check agent verification badges, read verified reviews, and request a no-obligation quote (RFQ) to get tailored offers."", ""question"": ""How do I compare packages safely?""}]",active,2026-04-18 14:14:49.142219+00,2026-04-18 14:14:49.142219+00
e01133f9-2d4a-4f14-b69e-71dd616932c6,Islamabad,umrah,en,umrah-from-islamabad,Umrah Packages from Islamabad 2026 | SafarMarket,"Compare verified Umrah packages from Islamabad for 2026. Trusted agents, transparent pricing, real reviews.",,,,0,"[{""answer"": ""Prices vary by hotel category, distance to the Haram and travel season. Most Umrah packages from Islamabad fall between budget (3★) and premium (5★) tiers — see live pricing from verified agents above."", ""question"": ""How much does Umrah from Islamabad cost?""}, {""answer"": ""SafarMarket lists verified agents who run regular Umrah departures from Islamabad. All agents are vetted for licensing (ATOL, Maqam, Ministry of Hajj) and reviewed by past pilgrims."", ""question"": ""Which agents serve the Islamabad to Saudi Arabia route?""}, {""answer"": ""Umrah can be performed year-round except during Hajj season. Off-peak months (after Ramadan, before Hajj) usually offer the best prices and quieter Haram."", ""question"": ""When is the best time to travel?""}, {""answer"": ""Most packages from Islamabad include return flights, visa processing, hotel accommodation in Makkah and Madinah, ground transport between holy sites, and Ziyarat tours. Always confirm visa, meals and transport details with the agent before booking."", ""question"": ""What is included in a typical package?""}, {""answer"": ""Use our compare tool to put up to 3 packages side-by-side, check agent verification badges, read verified reviews, and request a no-obligation quote (RFQ) to get tailored offers."", ""question"": ""How do I compare packages safely?""}]",active,2026-04-18 14:14:49.142219+00,2026-04-18 14:14:49.142219+00
d1b700fa-e4b5-4a0c-b830-94e96bdbd098,Islamabad,hajj,en,hajj-from-islamabad,Hajj Packages from Islamabad 2026 | SafarMarket,"Compare verified Hajj packages from Islamabad for 2026. Trusted agents, transparent pricing, real reviews.",,,,0,"[{""answer"": ""Prices vary by hotel category, distance to the Haram and travel season. Most Hajj packages from Islamabad fall between budget (3★) and premium (5★) tiers — see live pricing from verified agents above."", ""question"": ""How much does Hajj from Islamabad cost?""}, {""answer"": ""SafarMarket lists verified agents who run regular Hajj departures from Islamabad. All agents are vetted for licensing (ATOL, Maqam, Ministry of Hajj) and reviewed by past pilgrims."", ""question"": ""Which agents serve the Islamabad to Saudi Arabia route?""}, {""answer"": ""Hajj happens once a year on fixed Islamic calendar dates (8–13 Dhul Hijjah). Book at least 6–9 months ahead — quotas from Islamabad fill quickly."", ""question"": ""When is the best time to travel?""}, {""answer"": ""Most packages from Islamabad include return flights, visa processing, hotel accommodation in Makkah and Madinah, ground transport between holy sites, and Ziyarat tours. Always confirm visa, meals and transport details with the agent before booking."", ""question"": ""What is included in a typical package?""}, {""answer"": ""Use our compare tool to put up to 3 packages side-by-side, check agent verification badges, read verified reviews, and request a no-obligation quote (RFQ) to get tailored offers."", ""question"": ""How do I compare packages safely?""}]",active,2026-04-18 14:14:49.142219+00,2026-04-18 14:14:49.142219+00
08eaea82-a85f-4828-8838-a4966821c513,Jakarta,umrah,en,umrah-from-jakarta,Umrah Packages from Jakarta 2026 | SafarMarket,"Compare verified Umrah packages from Jakarta for 2026. Trusted agents, transparent pricing, real reviews.",,,,0,"[{""answer"": ""Prices vary by hotel category, distance to the Haram and travel season. Most Umrah packages from Jakarta fall between budget (3★) and premium (5★) tiers — see live pricing from verified agents above."", ""question"": ""How much does Umrah from Jakarta cost?""}, {""answer"": ""SafarMarket lists verified agents who run regular Umrah departures from Jakarta. All agents are vetted for licensing (ATOL, Maqam, Ministry of Hajj) and reviewed by past pilgrims."", ""question"": ""Which agents serve the Jakarta to Saudi Arabia route?""}, {""answer"": ""Umrah can be performed year-round except during Hajj season. Off-peak months (after Ramadan, before Hajj) usually offer the best prices and quieter Haram."", ""question"": ""When is the best time to travel?""}, {""answer"": ""Most packages from Jakarta include return flights, visa processing, hotel accommodation in Makkah and Madinah, ground transport between holy sites, and Ziyarat tours. Always confirm visa, meals and transport details with the agent before booking."", ""question"": ""What is included in a typical package?""}, {""answer"": ""Use our compare tool to put up to 3 packages side-by-side, check agent verification badges, read verified reviews, and request a no-obligation quote (RFQ) to get tailored offers."", ""question"": ""How do I compare packages safely?""}]",active,2026-04-18 14:14:49.142219+00,2026-04-18 14:14:49.142219+00
4b9bd70b-4dd8-49c0-9df6-842637bed71a,Jakarta,hajj,en,hajj-from-jakarta,Hajj Packages from Jakarta 2026 | SafarMarket,"Compare verified Hajj packages from Jakarta for 2026. Trusted agents, transparent pricing, real reviews.",,,,0,"[{""answer"": ""Prices vary by hotel category, distance to the Haram and travel season. Most Hajj packages from Jakarta fall between budget (3★) and premium (5★) tiers — see live pricing from verified agents above."", ""question"": ""How much does Hajj from Jakarta cost?""}, {""answer"": ""SafarMarket lists verified agents who run regular Hajj departures from Jakarta. All agents are vetted for licensing (ATOL, Maqam, Ministry of Hajj) and reviewed by past pilgrims."", ""question"": ""Which agents serve the Jakarta to Saudi Arabia route?""}, {""answer"": ""Hajj happens once a year on fixed Islamic calendar dates (8–13 Dhul Hijjah). Book at least 6–9 months ahead — quotas from Jakarta fill quickly."", ""question"": ""When is the best time to travel?""}, {""answer"": ""Most packages from Jakarta include return flights, visa processing, hotel accommodation in Makkah and Madinah, ground transport between holy sites, and Ziyarat tours. Always confirm visa, meals and transport details with the agent before booking."", ""question"": ""What is included in a typical package?""}, {""answer"": ""Use our compare tool to put up to 3 packages side-by-side, check agent verification badges, read verified reviews, and request a no-obligation quote (RFQ) to get tailored offers."", ""question"": ""How do I compare packages safely?""}]",active,2026-04-18 14:14:49.142219+00,2026-04-18 14:14:49.142219+00
